GS-001,2018-01-09 06:20:16,2018-01-09 16:20:16
GS-002,2018-01-09 06:06:12,2018-01-09 16:16:12
GS-003,2018-01-09 06:28:48,2018-01-09 16:28:48
GS-004,2018-01-09 06:25:35,2018-01-09 16:25:35
GS-005,2018-01-09 06:21:54,2018-01-09 16:21:54
GS-006,2018-01-09 06:25:31,2018-01-09 16:25:31
GS-006,2018-01-09 06:21:36,2018-01-09 13:21:36
GS-008,2018-01-09 06:06:15,2018-01-09 13:16:15
GS-009,2018-01-09 06:11:15,2018-01-09 13:11:15
GS-010,2018-01-09 06:16:41,2018-01-09 16:16:41
GS-011,2018-01-09 06:16:31,2018-01-09 16:16:31
GS-012,2018-01-09 06:46:05,2018-01-09 16:46:16
GS-013,2018-01-09 06:47:21,2018-01-09 16:47:21
GS-015,2018-01-09 08:16:53,2018-01-09 16:16:53
GS-016,2018-01-09 06:29:06,2018-01-09 16:29:16
GS-017,2018-01-09 06:01:01,2018-01-09 16:01:01
GS-018,2018-01-09 06:59:09,2018-01-09 16:59:16
GS-019,2018-01-09 06:43:21,2018-01-09 16:43:21
GS-020,2018-01-09 06:01:35,2018-01-09 16:01:35
GS-021,2018-01-09 06:30:11,2018-01-09 16:30:11
GS-022,2018-01-09 06:57:40,2018-01-09 16:57:40
GS-023,2018-01-09 06:41:25,2018-01-09 13:41:25
GS-024,2018-01-09 06:06:44,2018-01-09 16:16:44
GS-025,2018-01-09 06:42:22,2018-01-09 11:42:22
GS-026,2018-01-09 06:42:28,2018-01-09 12:42:28
GS-027,2018-01-09 05:46:51,2018-01-09 16:46:51
GS-028,2018-01-09 06:19:38,2018-01-09 16:19:38
GS-029,2018-01-09 06:25:53,2018-01-09 16:25:53
GS-030,2018-01-09 06:48:31,2018-01-09 16:48:31
GS-031,2018-01-09 06:03:27,2018-01-09 16:03:27
GS-032,2018-01-09 06:24:45,2018-01-09 16:24:45
GS-033,2018-01-09 06:17:28,2018-01-09 16:17:28
GS-034,2018-01-09 05:42:56,2018-01-09 16:42:56
GS-035,2018-01-09 06:47:25,2018-01-09 16:47:25
GS-036,2018-01-09 06:55:45,2018-01-09 16:55:45
GS-037,2018-01-09 06:01:58,2018-01-09 16:01:58
GS-038,2018-01-09 06:08:29,2018-01-09 16:16:29
GS-039,2018-01-09 06:00:25,2018-01-09 16:00:25
GS-040,2018-01-09 06:37:45,2018-01-09 16:37:45
GS-041,2018-01-09 06:58:46,2018-01-09 16:58:46
GS-042,2018-01-09 06:37:51,2018-01-09 16:37:51
GS-043,2018-01-09 06:16:17,2018-01-09 16:16:17
GS-044,2018-01-09 06:17:24,2018-01-09 16:17:24
GS-045,2018-01-09 06:30:50,2018-01-09 16:30:50
