GS-001,2018-01-04 06:05:16,2018-01-04 16:03:16
GS-002,2018-01-04 06:05:16,2018-01-04 16:03:16
GS-003,2018-01-04 06:05:48,2018-01-04 16:03:48
GS-004,2018-01-04 06:05:35,2018-01-04 16:03:35
GS-005,2018-01-04 06:05:54,2018-01-04 16:03:54
GS-006,2018-01-04 06:05:31,2018-01-04 16:03:31
GS-007,2018-01-04 06:05:36,2018-01-04 16:03:36
GS-008,2018-01-04 06:05:15,2018-01-04 16:03:15
GS-009,2018-01-04 06:05:15,2018-01-04 16:03:15
GS-013,2018-01-04 06:05:21,2018-01-04 16:03:21
GS-014,2018-01-04 06:05:04,2018-01-04 16:03:04
GS-015,2018-01-04 08:05:53,2018-01-04 16:03:53
GS-016,2018-01-04 06:05:06,2018-01-04 16:03:16
GS-017,2018-01-04 06:05:01,2018-01-04 16:03:01
GS-018,2018-01-04 06:05:09,2018-01-04 16:03:16
GS-019,2018-01-04 06:05:21,2018-01-04 16:03:21
GS-020,2018-01-04 06:05:35,2018-01-04 16:03:35
GS-021,2018-01-04 06:05:11,2018-01-04 16:03:11
GS-022,2018-01-04 06:05:40,2018-01-04 16:03:40
GS-023,2018-01-04 06:05:25,2018-01-04 16:03:25
GS-024,2018-01-04 06:05:44,2018-01-04 16:03:44
GS-025,2018-01-04 06:05:22,2018-01-04 16:03:22
GS-026,2018-01-04 06:05:28,2018-01-04 16:03:28
GS-027,2018-01-04 05:05:51,2018-01-04 16:03:51
GS-028,2018-01-04 06:05:38,2018-01-04 16:03:38
GS-029,2018-01-04 06:05:53,2018-01-04 16:03:53
GS-030,2018-01-04 06:05:31,2018-01-04 16:03:31
GS-031,2018-01-04 06:05:27,2018-01-04 16:03:27
GS-032,2018-01-04 06:05:45,2018-01-04 16:03:45
GS-033,2018-01-04 06:05:28,2018-01-04 16:03:28
GS-034,2018-01-04 05:05:56,2018-01-04 16:03:56
GS-035,2018-01-04 06:05:25,2018-01-04 16:03:25
GS-036,2018-01-04 06:05:45,2018-01-04 16:03:45
GS-037,2018-01-04 06:05:58,2018-01-04 16:03:58
GS-038,2018-01-04 06:05:29,2018-01-04 16:03:29
GS-039,2018-01-04 06:05:25,2018-01-04 16:03:25
GS-040,2018-01-04 06:05:45,2018-01-04 16:03:45
GS-041,2018-01-04 06:05:46,2018-01-04 16:03:46
GS-042,2018-01-04 06:05:51,2018-01-04 16:03:51
GS-043,2018-01-04 06:05:17,2018-01-04 16:03:17
GS-044,2018-01-04 06:05:24,2018-01-04 16:03:24
GS-045,2018-01-04 06:05:50,2018-01-04 16:03:50
GS-046,2018-01-04 06:05:17,2018-01-04 16:03:17
GS-047,2018-01-04 06:05:44,2018-01-04 16:03:44
GS-048,2018-01-04 06:05:16,2018-01-04 16:03:16
GS-049,2018-01-04 06:05:25,2018-01-04 16:03:25
GS-050,2018-01-04 06:05:37,2018-01-04 16:03:37
GS-051,2018-01-04 06:05:06,2018-01-04 16:03:16
GS-052,2018-01-04 06:05:34,2018-01-04 16:03:34
GS-053,2018-01-04 06:05:43,2018-01-04 16:03:43
GS-054,2018-01-04 06:05:58,2018-01-04 16:03:58
GS-055,2018-01-04 06:05:27,2018-01-04 16:03:27
GS-056,2018-01-04 06:05:55,2018-01-04 16:03:55
GS-057,2018-01-04 06:05:42,2018-01-04 16:03:42
GS-058,2018-01-04 05:05:00,2018-01-04 16:03:00
GS-059,2018-01-04 06:05:23,2018-01-04 16:03:23
GS-060,2018-01-04 06:05:06,2018-01-04 16:03:16
GS-061,2018-01-04 06:05:23,2018-01-04 16:03:23
GS-062,2018-01-04 06:05:34,2018-01-04 16:03:34
GS-063,2018-01-04 06:05:16,2018-01-04 16:03:16
GS-064,2018-01-04 06:05:27,2018-01-04 16:03:27
GS-065,2018-01-04 06:05:40,2018-01-04 16:03:40
GS-066,2018-01-04 08:05:17,2018-01-04 16:03:17
GS-067,2018-01-04 06:05:23,2018-01-04 13:03:23
GS-068,2018-01-04 06:05:32,2018-01-04 12:03:32
GS-069,2018-01-04 06:05:39,2018-01-04 11:03:39
GS-080,2018-01-04 06:05:28,2018-01-04 16:03:28
GS-081,2018-01-04 06:05:42,2018-01-04 16:03:42
GS-082,2018-01-04 06:05:10,2018-01-04 16:03:16
GS-083,2018-01-04 06:05:00,2018-01-04 16:03:00
GS-084,2018-01-04 06:05:30,2018-01-04 16:03:30
GS-085,2018-01-04 06:05:48,2018-01-04 16:03:48
GS-086,2018-01-04 06:05:15,2018-01-04 16:03:15
GS-087,2018-01-04 06:05:53,2018-01-04 16:03:53
GS-088,2018-01-04 05:05:19,2018-01-04 16:03:19
GS-089,2018-01-04 06:05:08,2018-01-04 16:03:16
GS-090,2018-01-04 06:05:48,2018-01-04 16:03:48
GS-091,2018-01-04 06:05:54,2018-01-04 16:03:54
GS-092,2018-01-04 06:05:39,2018-01-04 16:03:39
GS-093,2018-01-04 06:05:08,2018-01-04 16:03:16
GS-094,2018-01-04 06:05:39,2018-01-04 16:03:39
GS-095,2018-01-04 06:05:10,2018-01-04 16:03:16
GS-096,2018-01-04 06:05:24,2018-01-04 16:03:24
GS-097,2018-01-04 06:05:06,2018-01-04 16:03:16
GS-098,2018-01-04 06:05:05,2018-01-04 16:03:16
GS-099,2018-01-04 06:05:53,2018-01-04 16:03:53
GS-100,2018-01-04 06:05:40,2018-01-04 16:03:40
